year,state,new_cases,new_deaths
2022,AK,130608,443
2022,AL,654974,4274
2022,AR,378691,3056
2022,AS,8255,34
2022,AZ,964959,7741
2022,CA,6037831,21974
2022,CO,703899,3309
2022,CT,395997,2522
2022,DC,67740,179
2022,DE,129253,802
2022,FL,3120658,21549
2022,FSM,22062,58
2022,GA,1070049,9995
2022,GU,39736,139
2022,HI,233285,548
2022,IA,296636,2443
2022,ID,188760,1124
2022,IL,1685119,9317
2022,IN,712431,6262
2022,KS,369643,2203
2022,KY,746844,5442
2022,LA,620257,3370
2022,MA,943481,3171
2022,MD,534559,4013
2022,ME,156230,1198
2022,MI,1189709,11176
2022,MN,690347,2829
2022,MO,671827,5109
2022,MP,9875,23
2022,MS,388229,2609
2022,MT,123393,711
2022,NC,1547060,7627
2022,ND,102767,393
2022,NE,204312,794
2022,NH,160670,853
2022,NJ,1229308,6346
2022,NM,298517,2897
2022,NV,376271,3291
2022,NY,1378472,6798
2022,NYC,1395661,7870
2022,OH,1194744,8461
2022,OK,524999,3476
2022,OR,500473,3305
2022,PA,1281980,11811
2022,PR,743739,2231
2022,PW,5952,9
2022,RI,178531,685
2022,RMI,15540,17
2022,SC,762214,4134
2022,SD,87080,617
2022,TN,953376,7737
2022,TX,3256890,15569
2022,UT,413283,1324
2022,VA,1024932,7061
2022,VI,12660,38
2022,VT,81717,383
2022,WA,976305,5211
2022,WI,808817,4516
2022,WV,284066,2315
2022,WY,64399,386
